Album Title,Album Artist,Date Listened,Group,Genre,Date Released,Rating,Notes
The Grinch,"Tyler, the Creator",2025-02-13,Hip Hop,Hip Hop,2018-11-16,1,
Luxury Disease,One Ok Rock,2025-02-01,Rock,Hard Rock,2022-09-09,1,
Debí Tirar Más Fotos,Bad Bunny,2025-01-28,Pop,Reggeaton,2025-01-05,1,
An Evening with Silk Sonic,Bruno Mars,2025-01-22,Pop,R&B,2021-11-12,1,
Unorthodox Jukebox,Bruno Mars,2025-01-12,Pop,Funk,2012-12-07,1,
Flower Boy,"Tyler, the Creator",2024-12-31,Hip Hop,Hip Hop,2017-07-21,1,
One-X,Three Days Grace,2024-12-29,Rock,Emo Rock,2006-06-13,1,
"good kid, m.a.a.d. city",Kendrick Lamar,2024-12-24,Hip Hop,Conscious Hip Hop,2012-10-22,1,
Wake Up The Wicked,Powerwolf,2024-12-22,Metal,Power Metal,2024-07-26,1,
Mutter,Rammstein,2024-12-22,Metal,Neue Deutsche Härte,2001-04-02,1,
Endless Forms Most Beautiful,Nightwish,2024-12-18,Metal,Symphonic Metal,2015-03-25,1,
Imaginaerum ,Nightwish,2024-12-17,Metal,Symphonic Metal,2011-11-30,1,
Nightmare,Avenged Sevenfold,2024-12-14,Metal,Heavy Metal,2010-07-23,1,
zero_one,The Living Tombstone,2024-12-05,Rock,Progressive Rock,-,1,
Música,Saurom,2024-11-26,Metal,Power Metal,-,1,
The Lockdown Sessions,Elton John,2024-11-23,Pop,Pop,2021-10-22,1,
The Rise and Fall of a Midwest Princess,Chappell Roan,2024-11-19,Pop,Pop,2010-10-04,1,
The Wall,Pink Floyd,2024-11-17,Rock,Progressive Rock,1979-11-30,1,
Dark Passion Play,Nightwish,2024-11-15,Metal,Symphonic Metal,2007-09-26,1,
Whenever You Need Somebody,Rick Astley,2024-11-06,Pop,Disco,1987-11-16,1,
Starbomb Boom: Rise of Lyric,Starbomb,2024-10-26,Other,Comedy,-,1,From the files' creation date.
The Dancefloor At The End Of The Universe,Tom Cardy,2024-10-24,Other,Comedy,-,1,From the files' creation date.
Redeemer of Souls,Judas Priest,2024-10-10,Metal,Heavy Metal,2014-07-08,1,From the files' creation date.
News of the World,Queen,2024-10-05,Rock,Rock,1977-10-28,1,From the files' creation date.
Born To Change,My My Snake Eyes,2024-09-24,Rock,Indie Rock,-,1,From the files' creation date.
Pa'lla Voy,Marc Anthony,2024-09-07,Latin,Salsa,2022-03-04,1,From the files' creation date.
Casagemas,Pinto Picaso,2024-09-07,Latin,Bachata,-,1,From the files' creation date.
24K Magic,Bruno Mars,2024-09-01,Latin,Pop,2016-11-18,1,From the files' creation date. Not saved to library.
Big Dumb Idiot,Tom Cardy,2024-09-01,Other,Comedy,-,1,From the files' creation date.
This is Afro-Cuban Funk,PALO!,2024-08-30,Latin,Salsa,-,1,From the files' creation date.
Melodramatic,SIAMÉS,2024-08-24,Rock,Indie Rock,-,1,From the files' creation date.
Prophecy of Ragnarok,Brothers of Metal,2024-08-14,Metal,Power Metal,2017-04-01,1,From the files' creation date.
Rocka Rolla,Judas Priest,2024-07-21,Rock,Hard Rock,1974-09-06,1,From the files' creation date.
Century Child,Nightwish,2024-07-19,Metal,Symphonic Metal,2002-05-25,1,From the files' creation date.
Once,Nightwish,2024-07-17,Metal,Symphonic Metal,2004-06-07,1,From the files' creation date.
Hail to the King,Avenged Sevenfold,2024-07-10,Metal,Heavy Metal,2013-08-23,1,From the files' creation date.
The Black Album,Metallica,2024-07-09,Metal,Thrash Metal,1991-08-12,1,From the files' creation date.
Artificial Intelligence,Tom Cardy,2024-07-09,Other,Comedy,-,1,From the files' creation date.
Mr. Bad Guy,Queen (Freddie Mercury),2024-06-29,Rock,Rock,1985-04-29,1,From the files' creation date.
Innuendo,Queen,2024-06-28,Rock,Rock,1991-02-04,1,From the files' creation date.
Take Me Back to Eden,Sleep Token,2024-05-17,Metal,Post Metal,2023-05-19,1,From the files' creation date.
Doo-Wops & Hooligans,Bruno Mars,2024-04-07,Pop,Funk,2010-10-04,1,From the files' creation date.
Franz Ferdinand,Franz Ferdinand,2024-04-07,Rock,Indie Rock,2004-02-09,1,From the files' creation date.
Sin After Sin,Judas Priest,2024-03-10,Metal,Heavy Metal,1977-04-08,1,From the files' creation date.
Invincible Shield,Judas Priest,2024-03-09,Metal,Heavy Metal,2024-03-06,1,From the files' creation date.
Berserker,Beast in Black,2024-02-14,Metal,Power Metal,2017-11-03,1,From the files' creation date.
Jugulator,Judas Priest,2024-02-05,Metal,Groove Metal,1997-10-16,1,From the files' creation date.
Black Holes and Revelations,Muse,2024-02-03,Rock,Progressive Rock,2006-07-03,1,From the files' creation date.
Nevermind,Nirvana,2024-01-29,Rock,Punk Rock,1991-09-24,1,From the files' creation date.
...And Justice for All,Metallica,2024-01-27,Metal,Thrash Metal,1988-09-07,1,From the files' creation date.
Stained Class,Judas Priest,2024-01-21,Metal,Heavy Metal,1978-02-10,1,From the files' creation date.
Master of Puppets,Metallica,2024-01-04,Metal,Thrash Metal,1986-03-03,1,From the files' creation date.
Sad Wings of Destiny,Judas Priest,2024-01-02,Metal,Heavy Metal,1976-03-26,1,From the files' creation date.
The Great War,Sabaton,2023-11-11,Metal,Power Metal,2019-07-19,1,From the files' creation date.
Godmode,In This Moment,2023-11-01,Metal,Alternative Metal,2023-10-27,1,From the files' creation date.
Good & Evil,Tally Hall,2023-10-25,Rock,Indie Rock,2011-06-21,1,From the files' creation date.
Marvin's Marvelous Mechanical Museum,Tally Hall,2023-10-25,Rock,Indie Rock,2005-10-24,1,From the files' creation date.
Angel of Retribution,Judas Priest,2023-10-05,Metal,Heavy Metal,2005-02-23,1,From the files' creation date.
British Steel,Judas Priest,2023-09-27,Metal,Heavy Metal,1980-04-11,1,From the files' creation date.
Mother,In This Moment,2023-09-22,Metal,Alternative Metal,2020-03-27,1,From the files' creation date.
Ritual,In This Moment,2023-08-29,Metal,Alternative Metal,2017-07-21,1,From the files' creation date.
Teenage Dream: The Complete Conflection,Katy Perry,2023-08-21,Pop,Pop,2012-03-23,1,Made up.
Jazz,Queen,2023-08-20,Rock,Rock,1978-11-10,1,From the files' creation date.
Black Window,In This Moment,2023-08-19,Metal,Alternative Metal,2014-11-17,1,From the files' creation date.
Defenders of the Faith,Judas Priest,2023-08-11,Metal,Heavy Metal,1984-01-13,1,From the files' creation date.
Ride the Lightning,Metallica,2023-07-26,Metal,Thrash Metal,1984-07-27,1,From the files' creation date.
Turbo,Judas Priest,2023-07-23,Metal,Glam Metal,1986-04-07,1,From the files' creation date.
Ram It Down,Judas Priest,2023-07-21,Metal,Heavy Metal,1988-05-13,1,From the files' creation date.
Blood,In This Moment,2023-05-20,Metal,Alternative Metal,2012-08-14,1,From the files' creation date.
Heroes,Sabaton,2023-05-19,Metal,Power Metal,2014-05-16,1,From the files' creation date.
The Last Stand,Sabaton,2023-05-19,Metal,Power Metal,2016-08-19,1,From the files' creation date.
Interludium,Powerwolf,2023-04-09,Metal,Power Metal,2023-04-07,1,From the files' creation date.
A Kind of Magic,Queen,2023-04-09,Rock,Rock,1986-06-02,1,From the files' creation date.
Firepower,Judas Priest,2023-03-26,Metal,Heavy Metal,2018-03-09,1,From the files' creation date.
Screaming for Vengeance,Judas Priest,2023-03-24,Metal,Heavy Metal,1982-07-01,1,From the files' creation date.
Nonagon Infinity,King Gizzard and the Lizard Wizard,2023-02-21,Rock,Psychedelic Rock,2016-04-29,1,From the files' creation date.
Dark Connection,Beast in Black,2023-02-04,Metal,Power Metal,2021-10-29,1,From the files' creation date.
Blessed & Possessed,Powerwolf,2023-02-02,Metal,Power Metal,2015-07-17,1,From the files' creation date.
A Night at the Opera,Queen,2023-01-26,Rock,Rock,1975-11-28,1,From the files' creation date.
Rising,Rainbow,2023-01-22,Metal,Heavy Metal,1976-05-17,1,From the files' creation date.
Inmortalized,Disturbed,2023-01-15,Metal,Alternative Metal,2015-08-21,1,From the files' creation date.
Painkiller,Judas Priest,2023-01-02,Metal,Heavy Metal,1990-09-17,1,From the files' creation date.
Out of the Blue,Electric Light Orchestra,2022-12-30,Pop,Progressive Pop,1977-10-24,1,From the files' creation date.
The Battle of Los Angeles,Rage Against the Machine,2022-12-30,Metal,Rap Metal,1999-11-02,1,From the files' creation date.
Call of the Wild,Powerwolf,2022-12-18,Metal,Power Metal,2021-07-16,1,From the files' creation date.
Emblas Saga,Brothers of Metal,2022-12-08,Metal,Power Metal,2020-01-10,1,From the files' creation date.
Coat of Arms,Sabaton,2022-11-11,Metal,Power Metal,2010-05-21,1,From the files' creation date.
The Sacrament of Sin,Powerwolf,2022-09-25,Metal,Power Metal,2018-07-20,1,From the files' creation date.
From Hell with Love,Beast in Black,2022-08-26,Metal,Power Metal,2019-02-08,1,From the files' creation date.
A Day at the Races,Queen,2022-03-30,Rock,Rock,1976-12-10,1,From the files' creation date.
Ritchie Blackmore's Rainbow ,Rainbow ,2022-03-30,Metal,Heavy Metal,1975-08-04,1,From the files' creation date.
The War to End All Wars,Sabaton,2022-03-24,Metal,Power Metal,2022-03-04,1,From the files' creation date.
